customer_id,full_name,email,phone,address,city,state,pincode,created_at
C071,Amit Kumar,amit+spam@gmail.com,9876543211,A-23 Street,Mumbai,MH,401101,2023-07-27
C072,Amit Kumar,amitkumar@example.com,,A-23  St., Mumbay ,MH,401101,2023-07-28
C073,Unknown,, ,,, , ,2023-07-29
C074,"   Priyanka  ",priya@mail.com,9090909090,House 9,Delhi,DL,110020,2023/07/30
C075,Lokesh,lokesh@mail.com,8877664411,Ind Rd,Pune,MH,411011,2023-07-31
C076,Kruti,kruti@gmail.com, ,Block 2,Indore,MP,452004,2023-07-31
C077,Ron,ron@mail.com,7788992211,West End,Bhopal,MP,462003,2023-08-01
C078,Amrita,amrita@mail.com,9898980099,Fort Area,Mumbai,MH,400007,2023-08-02
C079,Elon,elon@mail.com,,Space Street,Hyderabad,TS,500005,2023-08-02
C080,Aria,aria@mail.com, ,Metro Line,Kolkata,WB,700024,2023/08/03
C081,Sameer,sameer@mail.com,7788995511,NH 44,Delhi,DL,110021,2023-08-04
C082,Janvi,janvi@mail.com,,,Pune,MH,411012,2023-08-04
C083,Irene,irene@mail.com,9988778811,Market Lane,Chennai,TN,600007,2023-08-05
C084,Mohan,mohan@mail.com,9911220033,Red Road,Indore,MP,452005,2023-08-05
C085,Neeraj,neeraj@mail.com,8899776611,Blue Road,Bhopal,MP,462004,2023-08-05
C086,Harshit,harshit@mail.com,,NH 8,Delhi,DL,110022,2023-08-06
C087,Anjali,anjali@mail.com,9988665533,City Center,Kolkata,WB,700025,2023-08-06
C088,Kritika,kritika@mail.com,,JJ Street,Pune,MH,411013,2023-08-07
C089,Atul,atul@mail.com, ,MM Street,Chennai,TN,600008,2023-08-07
C090,Shaan,shaan@mail.com,9988775500,Main Block,Delhi,DL,110023,2023-08-08
C091,Raghav,raghav@mail.com,8877664433,F-21 Road,Mumbai,MH,400008,2023-08-09
C092,Geeta,geeta@mail.com, ,Lake Road,Kochi,KL,682004,2023-08-09
C093,Lavanya,lavanya@mail.com,9011223344,Garden St,Indore,MP,452006,2023-08-10
C094,Parth,parth@mail.com,,Main Chowk,Pune,MH,411014,2023-08-10
C095,Rehan,rehan@mail.com,8899007766,West Road,Chennai,TN,600009,2023/08/11
C096,Chirag,chirag@mail.com, ,Near Plaza,Mumbai,MH,400009,2023/08/11
C097,Kaira,kaira@mail.com,9922334411,88X Road,Delhi,DL,110024,2023-08-12
C098,Om,om@mail.com, ,44 Park,Kolkata,WB,700026,2023-08-12
C099,Kapil,kapil@mail.com,8811990099,NN Market,Pune,MH,411015,2023-08-13
C100,Yash,yash@mail.com,,BB Lane,Chennai,TN,600010,2023-08-13
